sku,categoria,subcategoria,nombre_articulo,temporada_fuerte,pvp_bruto_ref_eur,iva_pct,coste_produccion_eur,margen_objetivo_pct
SKU0114,Ropa Mujer,Jersey,Jersey Trend 114,Todo el ano,31.99,0.21,7.01,0.735
SKU0115,Ropa Mujer,Camiseta,Camiseta Soft 115,Otono,13.99,0.21,2.15,0.814
SKU0116,Ropa Mujer,Falda,Falda Nordic 116,Invierno,26.99,0.21,9.04,0.595
SKU0117,Ropa Mujer,Blazer,Blazer Soft 117,Todo el ano,37.99,0.21,12.24,0.61
SKU0118,Ropa Mujer,Abrigo,Abrigo Urban 118,Todo el ano,42.99,0.21,15.93,0.552
SKU0119,Ropa Mujer,Vestido,Vestido Heritage 119,Invierno,48.99,0.21,14.04,0.653
SKU0120,Ropa Mujer,Jersey,Jersey Soft 120,Invierno,23.99,0.21,4.85,0.755
SKU0121,Ropa Mujer,Jersey,Jersey Weekender 121,Verano,27.99,0.21,3.99,0.828
SKU0122,Ropa Mujer,Jersey,Jersey Trend 122,Primavera,31.99,0.21,8.78,0.668
SKU0123,Ropa Mujer,Camiseta,Camiseta Nordic 123,Invierno,14.99,0.21,1.92,0.845
SKU0124,Ropa Mujer,Vestido,Vestido Studio 124,Invierno,41.99,0.21,5.8,0.833
SKU0125,Ropa Mujer,Camiseta,Camiseta Weekender 125,Invierno,10.99,0.21,1.84,0.798
SKU0126,Ropa Mujer,Vestido,Vestido Move 126,Primavera,38.99,0.21,14.74,0.543
SKU0127,Ropa Mujer,Pantalon,Pantalon Nordic 127,Primavera,29.99,0.21,6.44,0.74
SKU0128,Ropa Mujer,Camiseta,Camiseta Basic 128,Invierno,8.99,0.21,2.53,0.659
SKU0129,Ropa Mujer,Camiseta,Camiseta Move 129,Otono,22.99,0.21,7.54,0.603
SKU0130,Ropa Mujer,Jersey,Jersey Trend 130,Verano,25.99,0.21,7.41,0.655
SKU0131,Ropa Mujer,Camiseta,Camiseta Soft 131,Verano,13.99,0.21,2.06,0.821
SKU0132,Ropa Mujer,Vaquero,Vaquero Modern 132,Invierno,39.99,0.21,15.25,0.539
SKU0133,Ropa Mujer,Jersey,Jersey Urban 133,Invierno,35.99,0.21,5.72,0.808
SKU0134,Ropa Mujer,Pantalon,Pantalon Urban 134,Otono,22.99,0.21,3.93,0.793
SKU0135,Ropa Mujer,Jersey,Jersey Comfort 135,Verano,18.99,0.21,2.36,0.85
SKU0136,Ropa Mujer,Camiseta,Camiseta Trend 136,Invierno,19.99,0.21,4.5,0.728
SKU0137,Ropa Mujer,Vaquero,Vaquero Modern 137,Primavera,22.99,0.21,3.53,0.814
SKU0138,Ropa Mujer,Vestido,Vestido Basic 138,Todo el ano,20.99,0.21,7.21,0.584
SKU0139,Ropa Mujer,Blazer,Blazer Basic 139,Primavera,30.99,0.21,5.84,0.772
SKU0140,Ropa Mujer,Camiseta,Camiseta Soft 140,Verano,11.99,0.21,1.8,0.819
SKU0141,Ropa Hombre,Camisa,Camisa Weekender 001,Invierno,28.99,0.21,6.06,0.747
SKU0142,Ropa Hombre,Camiseta,Camiseta Comfort 002,Verano,14.99,0.21,3.42,0.724
SKU0143,Ropa Hombre,Camiseta,Camiseta Weekender 003,Primavera,8.99,0.21,3.17,0.573
SKU0144,Ropa Hombre,Camiseta,Camiseta Urban 004,Invierno,16.99,0.21,6.22,0.557
SKU0145,Ropa Hombre,Camisa,Camisa Basic 005,Invierno,18.99,0.21,3.25,0.793
SKU0146,Ropa Hombre,Jersey,Jersey Essential 006,Invierno,36.99,0.21,9.34,0.695
SKU0147,Ropa Hombre,Pantalon,Pantalon Essential 007,Invierno,36.99,0.21,4.69,0.847
SKU0148,Ropa Hombre,Jersey,Jersey Move 008,Todo el ano,20.99,0.21,5.95,0.657
SKU0149,Ropa Hombre,Camiseta,Camiseta Nordic 009,Invierno,14.99,0.21,5.85,0.528
SKU0150,Ropa Hombre,Jersey,Jersey Urban 010,Verano,32.99,0.21,9.49,0.652
SKU0151,Ropa Hombre,Vaquero,Vaquero Essential 011,Verano,31.99,0.21,11.82,0.553
SKU0152,Ropa Hombre,Jersey,Jersey Basic 012,Todo el ano,21.99,0.21,3.32,0.817
SKU0153,Ropa Hombre,Abrigo,Abrigo Move 013,Todo el ano,37.99,0.21,13.14,0.581
SKU0154,Ropa Hombre,Jersey,Jersey Basic 014,Otono,23.99,0.21,6.51,0.672
SKU0155,Ropa Hombre,Camiseta,Camiseta Basic 015,Primavera,17.99,0.21,4.87,0.673
SKU0156,Ropa Hombre,Pantalon,Pantalon Heritage 016,Invierno,19.99,0.21,6.85,0.585
SKU0157,Ropa Hombre,Camiseta,Camiseta Modern 017,Todo el ano,20.99,0.21,4.8,0.723
SKU0158,Ropa Hombre,Sudadera,Sudadera Urban 018,Primavera,28.99,0.21,6.36,0.735
SKU0159,Ropa Hombre,Abrigo,Abrigo Modern 019,Primavera,65.99,0.21,26.16,0.52
SKU0160,Ropa Hombre,Camisa,Camisa Urban 020,Primavera,22.99,0.21,5.91,0.689
SKU0161,Ropa Hombre,Jersey,Jersey Heritage 021,Primavera,24.99,0.21,4.22,0.796
SKU0162,Ropa Hombre,Camiseta,Camiseta Nordic 022,Verano,15.99,0.21,3.05,0.769
SKU0163,Ropa Hombre,Abrigo,Abrigo Weekender 023,Primavera,69.99,0.21,18.7,0.677
SKU0164,Ropa Hombre,Camiseta,Camiseta Heritage 024,Verano,21.99,0.21,5.35,0.705
SKU0165,Ropa Hombre,Pantalon,Pantalon Heritage 025,Todo el ano,36.99,0.21,11.64,0.619
SKU0166,Ropa Hombre,Abrigo,Abrigo Basic 026,Todo el ano,55.99,0.21,14.53,0.686
SKU0167,Ropa Hombre,Vaquero,Vaquero Trend 027,Invierno,22.99,0.21,6.85,0.639
SKU0168,Ropa Hombre,Camisa,Camisa Nordic 028,Todo el ano,33.99,0.21,7.84,0.721
SKU0169,Ropa Hombre,Camiseta,Camiseta Heritage 029,Todo el ano,10.99,0.21,3.46,0.619
SKU0170,Ropa Hombre,Camisa,Camisa Studio 030,Otono,19.99,0.21,8.12,0.509
SKU0171,Ropa Hombre,Camiseta,Camiseta Soft 031,Otono,22.99,0.21,6.52,0.657
SKU0172,Ropa Hombre,Vaquero,Vaquero Soft 032,Otono,27.99,0.21,6.72,0.709
SKU0173,Ropa Hombre,Abrigo,Abrigo Weekender 033,Verano,35.99,0.21,11.98,0.597
SKU0174,Ropa Hombre,Camiseta,Camiseta Nordic 034,Otono,18.99,0.21,4.37,0.722
SKU0175,Ropa Hombre,Camiseta,Camiseta Comfort 035,Otono,22.99,0.21,5.37,0.717
SKU0176,Ropa Hombre,Camiseta,Camiseta Trend 036,Primavera,15.99,0.21,3.09,0.767
SKU0177,Ropa Hombre,Vaquero,Vaquero Comfort 037,Todo el ano,42.99,0.21,8.8,0.752
SKU0178,Ropa Hombre,Sudadera,Sudadera Heritage 038,Primavera,34.99,0.21,6.54,0.774
SKU0179,Ropa Hombre,Jersey,Jersey Trend 039,Todo el ano,34.99,0.21,13.3,0.54
SKU0180,Ropa Hombre,Camisa,Camisa Soft 040,Todo el ano,29.99,0.21,8.57,0.654
SKU0181,Ropa Hombre,Camisa,Camisa Essential 041,Verano,26.99,0.21,6.05,0.729
SKU0182,Ropa Hombre,Camiseta,Camiseta Studio 042,Primavera,22.99,0.21,2.95,0.845
SKU0183,Ropa Hombre,Vaquero,Vaquero Soft 043,Otono,27.99,0.21,5.63,0.757
SKU0184,Ropa Hombre,Pantalon,Pantalon Essential 044,Verano,34.99,0.21,10.95,0.621
SKU0185,Ropa Hombre,Camisa,Camisa Comfort 045,Todo el ano,17.99,0.21,7.22,0.514
SKU0186,Ropa Hombre,Abrigo,Abrigo Move 046,Otono,66.99,0.21,18.19,0.671
SKU0187,Ropa Hombre,Camisa,Camisa Heritage 047,Todo el ano,34.99,0.21,9.75,0.663
SKU0188,Ropa Hombre,Vaquero,Vaquero Basic 048,Todo el ano,44.99,0.21,13.23,0.644
SKU0189,Ropa Hombre,Camiseta,Camiseta Essential 049,Primavera,20.99,0.21,8.16,0.53
SKU0190,Ropa Hombre,Sudadera,Sudadera Urban 050,Otono,26.99,0.21,4.89,0.781
SKU0191,Ropa Hombre,Sudadera,Sudadera Trend 051,Primavera,33.99,0.21,5.96,0.788
SKU0192,Ropa Hombre,Sudadera,Sudadera Move 052,Todo el ano,16.99,0.21,5.19,0.63
SKU0193,Ropa Hombre,Camiseta,Camiseta Urban 053,Otono,8.99,0.21,3.43,0.538
SKU0194,Ropa Hombre,Camiseta,Camiseta Essential 054,Todo el ano,18.99,0.21,3.93,0.75
SKU0195,Ropa Hombre,Pantalon,Pantalon Soft 055,Otono,35.99,0.21,5.86,0.803
SKU0196,Ropa Hombre,Pantalon,Pantalon Soft 056,Otono,34.99,0.21,6.35,0.78
SKU0197,Ropa Hombre,Sudadera,Sudadera Modern 057,Invierno,17.99,0.21,6.21,0.582
SKU0198,Ropa Hombre,Camisa,Camisa Essential 058,Primavera,27.99,0.21,4.62,0.8
SKU0199,Ropa Hombre,Camisa,Camisa Trend 059,Invierno,15.99,0.21,4.23,0.68
SKU0200,Ropa Hombre,Sudadera,Sudadera Essential 060,Primavera,29.99,0.21,12.14,0.51
SKU0201,Ropa Hombre,Sudadera,Sudadera Basic 061,Otono,23.99,0.21,3.7,0.813
SKU0202,Ropa Hombre,Pantalon,Pantalon Urban 062,Otono,32.99,0.21,11.36,0.583
SKU0203,Ropa Hombre,Camisa,Camisa Urban 063,Invierno,32.99,0.21,10.31,0.622
SKU0204,Ropa Hombre,Pantalon,Pantalon Modern 064,Invierno,36.99,0.21,12.09,0.605
SKU0205,Ropa Hombre,Camiseta,Camiseta Modern 065,Primavera,17.99,0.21,5.37,0.639
SKU0206,Ropa Hombre,Sudadera,Sudadera Trend 066,Primavera,21.99,0.21,3.45,0.81
SKU0207,Ropa Hombre,Sudadera,Sudadera Move 067,Verano,19.99,0.21,7.77,0.53
SKU0208,Ropa Hombre,Pantalon,Pantalon Modern 068,Primavera,25.99,0.21,5.34,0.751
SKU0209,Ropa Hombre,Camisa,Camisa Studio 069,Todo el ano,31.99,0.21,3.98,0.85
SKU0210,Ropa Hombre,Camisa,Camisa Modern 070,Verano,21.99,0.21,6.49,0.643
SKU0211,Ropa Hombre,Abrigo,Abrigo Weekender 071,Verano,40.99,0.21,10.12,0.701
SKU0212,Ropa Hombre,Camisa,Camisa Basic 072,Otono,34.99,0.21,7.37,0.745
SKU0213,Ropa Hombre,Camisa,Camisa Studio 073,Primavera,27.99,0.21,8.39,0.637
SKU0214,Ropa Hombre,Pantalon,Pantalon Studio 074,Verano,38.99,0.21,10.51,0.674
SKU0215,Ropa Hombre,Jersey,Jersey Nordic 075,Verano,20.99,0.21,6.46,0.628
SKU0216,Ropa Hombre,Camisa,Camisa Nordic 076,Primavera,16.99,0.21,6.03,0.571
SKU0217,Ropa Hombre,Sudadera,Sudadera Studio 077,Todo el ano,16.99,0.21,4.79,0.659
SKU0218,Ropa Hombre,Camisa,Camisa Weekender 078,Todo el ano,27.99,0.21,8.79,0.62
SKU0219,Ropa Hombre,Pantalon,Pantalon Move 079,Verano,26.99,0.21,3.66,0.836
SKU0220,Ropa Hombre,Sudadera,Sudadera Soft 080,Verano,30.99,0.21,7.96,0.689
SKU0221,Ropa Hombre,Abrigo,Abrigo Urban 081,Invierno,46.99,0.21,7.23,0.814
SKU0222,Ropa Hombre,Vaquero,Vaquero Basic 082,Verano,26.99,0.21,8.61,0.614
SKU0223,Ropa Hombre,Vaquero,Vaquero Move 083,Otono,42.99,0.21,11.18,0.685
SKU0224,Ropa Hombre,Sudadera,Sudadera Weekender 084,Verano,30.99,0.21,7.51,0.707
SKU0225,Ropa Hombre,Sudadera,Sudadera Essential 085,Verano,28.99,0.21,9.47,0.605
SKU0226,Ropa Hombre,Jersey,Jersey Move 086,Primavera,22.99,0.21,7.36,0.613
SKU0227,Ropa Hombre,Pantalon,Pantalon Weekender 087,Primavera,20.99,0.21,3.37,0.806
SKU0228,Ropa Hombre,Jersey,Jersey Comfort 088,Verano,23.99,0.21,6.02,0.697
SKU0229,Ropa Hombre,Sudadera,Sudadera Soft 089,Invierno,31.99,0.21,5.97,0.774
SKU0230,Ropa Hombre,Camiseta,Camiseta Studio 090,Otono,14.99,0.21,4.13,0.667
SKU0231,Ropa Hombre,Camiseta,Camiseta Soft 091,Verano,22.99,0.21,5.01,0.736
SKU0232,Ropa Hombre,Jersey,Jersey Basic 092,Verano,33.99,0.21,5.17,0.816
SKU0233,Ropa Hombre,Camiseta,Camiseta Weekender 093,Otono,20.99,0.21,7.55,0.565
SKU0234,Ropa Hombre,Pantalon,Pantalon Essential 094,Primavera,30.99,0.21,11.89,0.536
SKU0235,Ropa Hombre,Pantalon,Pantalon Essential 095,Otono,32.99,0.21,4.52,0.834
SKU0236,Ropa Hombre,Camiseta,Camiseta Nordic 096,Todo el ano,15.99,0.21,4.6,0.652
SKU0237,Ropa Hombre,Pantalon,Pantalon Weekender 097,Todo el ano,18.99,0.21,2.58,0.836
SKU0238,Ropa Hombre,Abrigo,Abrigo Studio 098,Primavera,39.99,0.21,16.05,0.514
SKU0239,Ropa Hombre,Camiseta,Camiseta Trend 099,Otono,11.99,0.21,4.73,0.523
SKU0240,Ropa Hombre,Jersey,Jersey Urban 100,Todo el ano,26.99,0.21,7.12,0.681
SKU0241,Ropa Hombre,Jersey,Jersey Essential 101,Primavera,24.99,0.21,9.96,0.518
SKU0242,Ropa Hombre,Pantalon,Pantalon Trend 102,Todo el ano,19.99,0.21,6.04,0.635
SKU0243,Ropa Hombre,Camiseta,Camiseta Weekender 103,Otono,9.99,0.21,2.11,0.744
SKU0244,Ropa Hombre,Camisa,Camisa Move 104,Otono,19.99,0.21,6.51,0.606
SKU0245,Ropa Hombre,Camiseta,Camiseta Weekender 105,Todo el ano,14.99,0.21,4.39,0.646
SKU0246,Ropa Hombre,Pantalon,Pantalon Modern 106,Primavera,17.99,0.21,6.85,0.539
SKU0247,Ropa Hombre,Vaquero,Vaquero Weekender 107,Todo el ano,41.99,0.21,17.34,0.5
SKU0248,Ropa Hombre,Vaquero,Vaquero Soft 108,Otono,32.99,0.21,8.96,0.671
SKU0249,Ropa Hombre,Jersey,Jersey Basic 109,Invierno,24.99,0.21,7.21,0.651
SKU0250,Ropa Hombre,Pantalon,Pantalon Basic 110,Todo el ano,35.99,0.21,6.11,0.794
SKU0251,Zapatos,Deportivo,Deportivo Modern 001,Verano,20.99,0.21,5.06,0.708
SKU0252,Zapatos,Bota,Bota Studio 002,Invierno,33.99,0.21,5.45,0.806
SKU0253,Zapatos,Deportivo,Deportivo Trend 003,Otono,27.99,0.21,6.62,0.714
SKU0254,Zapatos,Sandalia,Sandalia Heritage 004,Otono,25.99,0.21,7.76,0.639
SKU0255,Zapatos,Zapato casual,Zapato casual Nordic 005,Primavera,33.99,0.21,6.91,0.754
SKU0256,Zapatos,Deportivo,Deportivo Move 006,Otono,37.99,0.21,7.36,0.765
SKU0257,Zapatos,Bota,Bota Modern 007,Otono,59.99,0.21,17.51,0.647
SKU0258,Zapatos,Zapatilla hogar,Zapatilla hogar Nordic 008,Invierno,14.99,0.21,6.14,0.504
SKU0259,Zapatos,Deportivo,Deportivo Studio 009,Invierno,44.99,0.21,11.82,0.682
SKU0260,Zapatos,Sandalia,Sandalia Move 010,Otono,22.99,0.21,8.87,0.533
SKU0261,Zapatos,Zapato casual,Zapato casual Modern 011,Verano,37.99,0.21,11.36,0.638
SKU0262,Zapatos,Deportivo,Deportivo Soft 012,Invierno,40.99,0.21,15.17,0.552
SKU0263,Zapatos,Deportivo,Deportivo Nordic 013,Invierno,49.99,0.21,18.08,0.562
SKU0264,Zapatos,Deportivo,Deportivo Nordic 014,Verano,26.99,0.21,4.45,0.801
SKU0265,Zapatos,Zapatilla hogar,Zapatilla hogar Heritage 015,Todo el ano,19.99,0.21,7.03,0.574
